ID,GRAD_YEAR,AOC_num,AOC,DIVISION,Industry,Industry2,Position,Org_Name
36,2007,1,Anthropology,Social Sciences,Technology,STEM,Technician,Apple
37,2004,1,Anthropology,Social Sciences,Online Media,Arts and Media,President/Creative Director,Gentlestorm Productions LLC
38,2014,1,Anthropology,Social Sciences,Architecture,STEM,Project Assistant,"Crafted Earth, INC."
39,2005,1,Anthropology,Social Sciences,Nonprofit,Government and Social Services,Publications Manager,Drug Policy Alliance
40,2005,1,Anthropology,Social Sciences,Media,Arts and Media,Sr. Marketing Director,"Sandler, Travis & Rosenberg"
41,2011,1,Anthropology,Social Sciences,Museums and Institutions,Education,Collections Management Assistant,The National September 11 Memorial & Museum
42,2015,1,Anthropology,Social Sciences,Education,Education,NA,The Kindezi Schools
43,2004,1,Anthropology,Social Sciences,Medical,Health and Medicine,Licensed Acupunturist,Green Light Acupuncture
44,2007,1,Anthropology,Social Sciences,Unknown,Other,NA,Unknown
45,2003,1,Anthropology,Social Sciences,Law,Government and Social Services,Associate Lawyer,Hummingbird Law
46,2015,1,Anthropology,Social Sciences,Non Profit,Government and Social Services,Americorps Vista,Americorps
47,2013,1,Anthropology,Social Sciences,Food Service,"Business, Finance, and Retail",Cashier,Trader Joe's
48,2017,1,Anthropology,Social Sciences,Farming,STEM,Greenhouse Coordinator,Sky Vegetables
49,2010,1,Anthropology,Social Sciences,Education,Education,Higher Education professional,unknown
50,2012,1,Anthropology,Social Sciences,Archaeology,STEM,Park Guide,Great Basin Institute
51,2004,1,Anthropology,Social Sciences,Consulting,"Business, Finance, and Retail",Lead Auctioneer & Fundraising Consultant,EJB Benefit Auctions
52,2014,1,Anthropology,Social Sciences,Business,"Business, Finance, and Retail","Quality Assurance, Scribe",SCF Business Group
53,2005,1,Anthropology,Social Sciences,Education,Education,NA,Island Village Montessori School
54,2015,1,Anthropology,Social Sciences,Education,Education,English Teacher,Spanish Govt
55,2004,1,Anthropology,Social Sciences,Technology,STEM,Project manager,Advanced Green Technologies
56,2017,1,Anthropology,Social Sciences,Software,STEM,Development & Outreach Coordinator,VISTA
57,2004,1,Anthropology,Social Sciences,Education,Education,Associate Dean of Transfer Education,Seattle Central College
58,2012,1,Anthropology,Social Sciences,Entertainment,Arts and Media,CEO,The Bureau Adventure Games
59,2013,1,Anthropology,Social Sciences,Retail,"Business, Finance, and Retail",Sales Associate,Habitat for Humanity ReStore
60,2002,1,Anthropology,Social Sciences,Education,Education,Clinical Social Worker,Unknown
61,2009,1,Anthropology,Social Sciences,Farming,STEM,Account Manager,East Fork Cultivars
61,2009,2,German Language and Literature,Humanities,Farming,STEM,Account Manager,East Fork Cultivars
62,2005,1,Anthropology,Social Sciences,Consulting,"Business, Finance, and Retail",Owner - Cultural Resource planning,SRS Consulting
62,2005,2,History,Social Sciences,Consulting,"Business, Finance, and Retail",Owner - Cultural Resource planning,SRS Consulting
63,2006,1,Anthropology,Social Sciences,Education,Education,unknown,University of CA Santa Cruz
63,2006,2,Philosophy,Humanities,Education,Education,unknown,University of CA Santa Cruz
64,2007,1,Anthropology,Social Sciences,Research,STEM,Lead Design Researcher,Pretzel Lab
64,2007,2,Art,Humanities,Research,STEM,Lead Design Researcher,Pretzel Lab
65,2002,1,Anthropology,Social Sciences,Environmental,STEM,Archaeologist/Cultural Resource Specialist,USDA Natural Resources Conservation Service
65,2002,2,Art History,Humanities,Environmental,STEM,Archaeologist/Cultural Resource Specialist,USDA Natural Resources Conservation Service
66,2006,1,Classics,Humanities,Education,Education,Education Coordinator,ETSU Museum Studies
66,2006,2,Anthropology,Social Sciences,Education,Education,Education Coordinator,ETSU Museum Studies
67,2007,1,Environmental Studies,Interdisciplinary,Non Profit,Government and Social Services,Executive Director,DanceSafe
67,2007,2,Anthropology,Social Sciences,Non Profit,Government and Social Services,Executive Director,DanceSafe
68,2006,1,Environmental Studies,Interdisciplinary,Retail,"Business, Finance, and Retail",Sales,BizBuySell
68,2006,2,Anthropology,Social Sciences,Retail,"Business, Finance, and Retail",Sales,BizBuySell
69,2014,1,Environmental Studies,Interdisciplinary,Media,Arts and Media,Politics Reporter,Colorado Sun
69,2014,2,Anthropology,Social Sciences,Media,Arts and Media,Politics Reporter,Colorado Sun
70,2013,1,Anthropology,Social Sciences,Business Consulting,"Business, Finance, and Retail",Consultant - Content Writing,FLYTE Sweden AB
70,2013,2,Gender Studies,Social Sciences,Business Consulting,"Business, Finance, and Retail",Consultant - Content Writing,FLYTE Sweden AB
71,2011,1,Anthropology,Social Sciences,Education,Education,Coordinator,Americorps*VISTA
71,2011,2,Gender Studies,Social Sciences,Education,Education,Coordinator,Americorps*VISTA
72,2008,1,Anthropology,Social Sciences,Arts & Entertainment,Arts and Media,Founder & Director,Creative Players
72,2008,2,Gender Studies,Social Sciences,Arts & Entertainment,Arts and Media,Founder & Director,Creative Players
73,2010,1,Anthropology,Social Sciences,Arts,Arts and Media,Communications Marketing Manager,Caramoor Center for Music and the Arts
73,2010,2,Gender Studies,Social Sciences,Arts,Arts and Media,Communications Marketing Manager,Caramoor Center for Music and the Arts
74,2010,1,Anthropology,Social Sciences,Medical,Health and Medicine,Registered Nurse,Carle Health
74,2010,2,Gender Studies,Social Sciences,Medical,Health and Medicine,Registered Nurse,Carle Health
75,2013,1,Anthropology,Social Sciences,Psychotherapy,Health and Medicine,Clinical Therapist,Bull City Psychotherapy
75,2013,2,Gender Studies,Social Sciences,Psychotherapy,Health and Medicine,Clinical Therapist,Bull City Psychotherapy
76,2011,1,Anthropology,Social Sciences,Software,STEM,Independent Ios Developer,Self employed
76,2011,2,History,Social Sciences,Software,STEM,Independent Ios Developer,Self employed
77,2002,1,Anthropology,Social Sciences,Healthcare,Health and Medicine,Intellectual Property Paralegal,Moffitt Cancer Center
77,2002,2,History,Social Sciences,Healthcare,Health and Medicine,Intellectual Property Paralegal,Moffitt Cancer Center
78,2008,1,Anthropology,Social Sciences,Healthcare,Health and Medicine,Nurse Midwife,OMG Women's Health Care
78,2008,2,Philosophy,Humanities,Healthcare,Health and Medicine,Nurse Midwife,OMG Women's Health Care
79,2007,1,Anthropology,Social Sciences,Arts & Entertainment,Arts and Media,NA,Unknown
79,2007,2,Philosophy,Humanities,Arts & Entertainment,Arts and Media,NA,Unknown
80,2003,1,Political Science,Social Sciences,Technology,STEM,CEO,Dakota Lithium Batteries
80,2003,2,Anthropology,Social Sciences,Technology,STEM,CEO,Dakota Lithium Batteries
81,2003,1,Humanities,Humanities,Government,Government and Social Services,Program Analyst,U.S. Department of State
81,2003,2,Anthropology,Social Sciences,Government,Government and Social Services,Program Analyst,U.S. Department of State
82,2006,1,Anthropology,Social Sciences,Healthcare,Health and Medicine,Program Director,Spencer Cox Ctr for Health Mt Sinai St. Luke Roosevelt Hosp
82,2006,2,Sociology,Social Sciences,Healthcare,Health and Medicine,Program Director,Spencer Cox Ctr for Health Mt Sinai St. Luke Roosevelt Hosp
83,2008,1,Anthropology,Social Sciences,Medical,Health and Medicine,Pulmonary & Critical Care Fellow,Tulane University School of Medicine
83,2008,2,Spanish Language and Literature,Humanities,Medical,Health and Medicine,Pulmonary & Critical Care Fellow,Tulane University School of Medicine
84,2005,1,Anthropology,Social Sciences,Arts & Entertainment,Arts and Media,Musician,"Eye for Talent, Tree Frog Treks, Blue Bear School"
84,2005,2,Spanish Language and Literature,Humanities,Arts & Entertainment,Arts and Media,Musician,"Eye for Talent, Tree Frog Treks, Blue Bear School"
85,2009,1,Anthropology,Social Sciences,Film,Arts and Media,General Manager,The Art Theatre Cooperative
85,2009,2,Performance Studies,Interdisciplinary,Film,Arts and Media,General Manager,The Art Theatre Cooperative
86,2015,1,Applied Mathematics,Natural Sciences,Manufacturing,STEM,Data Analyst,Kellstrom Materials
87,2016,1,Applied Mathematics,Natural Sciences,Law,Government and Social Services,Partner,Superluminal Partners
88,2016,1,Biology,Natural Sciences,Services,"Business, Finance, and Retail",Associate,Sage Renewable Energy Consulting
88,2016,2,Applied Mathematics,Natural Sciences,Services,"Business, Finance, and Retail",Associate,Sage Renewable Energy Consulting
89,2011,1,Biology,Natural Sciences,Research,STEM,Research Associate,Navy Medical Research Center
89,2011,2,Applied Mathematics,Natural Sciences,Research,STEM,Research Associate,Navy Medical Research Center
90,2012,1,Computer Science,Natural Sciences,Software,STEM,Software Engineer,Google
90,2012,2,Applied Mathematics,Natural Sciences,Software,STEM,Software Engineer,Google
91,2012,1,Applied Mathematics,Natural Sciences,Retail,"Business, Finance, and Retail",Sales,Puppytown
91,2012,2,Computer Science,Natural Sciences,Retail,"Business, Finance, and Retail",Sales,Puppytown
92,2013,1,Music,Humanities,Medical,Health and Medicine,Math Modeller,PharmaCline
92,2013,2,Applied Mathematics,Natural Sciences,Medical,Health and Medicine,Math Modeller,PharmaCline
93,2008,1,Art,Humanities,Art,Arts and Media,Freelance Author & Illustrator,Lina Maslo Illustration
94,2006,1,Art,Humanities,Library,Education,Librarian,San Mateo County Library
95,2010,1,Art,Humanities,Education,Education,Teaching Assistant,North American Teaching and Cultural Assistant Program
96,2010,1,Art,Humanities,Food Service,"Business, Finance, and Retail",Barista,Big E's Cafe
97,2009,1,Art,Humanities,Education,Education,Student Designer,The School of the Art Institute of Chicago
98,2012,1,Art,Humanities,Education,Education,Art Teacher,Manatee County School District
99,2006,1,Art,Humanities,Healthcare,Health and Medicine,Massage,Self-Employed
100,2014,1,Art,Humanities,Marketing,"Business, Finance, and Retail",Quality Control Manager,PostcardMania
101,2007,1,Art,Humanities,Media,Arts and Media,Digital Interactive Designer,Smithsonian Center for Learning & Digital Access
102,2015,1,Art,Humanities,Retail,"Business, Finance, and Retail",Sales Associate,Anthropologie
103,2009,1,Art,Humanities,Architecture,STEM,Designer,"UrbanWorks, Ltd."
104,2007,1,Art,Humanities,Education,Education,Staff Assistant,Boston College
105,2009,1,Art,Humanities,Arts,Arts and Media,Graphic Designer,Schoolhouse
106,2008,1,Art,Humanities,Arts,Arts and Media,Owner,Ready-to-Grow Gardens
107,2016,1,Art,Humanities,Arts,Arts and Media,Exhibitions & Marketing Coordinator,Art Center Sarasota
108,2011,1,Art,Humanities,Education,Education,Assistant Teacher,Rollins College Child Development Cneter
109,2007,1,Art,Humanities,Government,Government and Social Services,Outreach Coordinator,New York City Office of Emergency Management
110,2006,1,Art,Humanities,Antiques,Arts and Media,Freelance Photographer/Artist,"Marina Williams Art, Design & Photography"
111,2011,1,Art,Humanities,Media,Arts and Media,Producer & Host,WiSP Sports Network
112,2008,1,Art,Humanities,Healthcare,Health and Medicine,Senior Referral Advisor,Conifer Health Solutions
113,2010,1,Art,Humanities,Arts,Arts and Media,Gallerist,Etra Fine Art
114,2012,1,Art History,Humanities,Education,Education,College Assistant at Zabar Art Library,Hunter College
114,2012,2,Art,Humanities,Education,Education,College Assistant at Zabar Art Library,Hunter College
115,2012,1,Art History,Humanities,Food Service,"Business, Finance, and Retail",Shift Supervisor,Starbucks
116,2002,1,Art History,Humanities,Banking,"Business, Finance, and Retail",Assistant General Counsel,Bank of America
117,2013,1,Art History,Humanities,Non Profit,Government and Social Services,Gallery Administrator,Caldwell Snyder Gallery
118,2017,1,Art History,Humanities,Museums and Institutions,Education,Visitor Services Assistant,Whitney Museum of American Art
119,2012,1,Art History,Humanities,Business Consulting,"Business, Finance, and Retail",Leadership Coach & Business Consultant,Self employed
120,2013,1,Art History,Humanities,Media,Arts and Media,Copy Editor,Freelance
121,2005,1,Art History,Humanities,Textiles,STEM,Sales/Service Representative,Customink.com
122,2019,1,Art History,Humanities,Museums and Institutions,Education,Curatorial Assistant,Sarasota Museum of Art
123,2013,1,Art History,Humanities,Museums and Institutions,Education,Assistant Registrar,Museum of Arts and Design
124,2008,1,Art History,Humanities,Law,Government and Social Services,Assistant District Attorney,Galveston County District Attorney
125,2015,1,Art History,Humanities,Research,STEM,Research Assistant,"Schoenberg Database of Manuscripts, U. of Pennsylvania"
125,2015,2,Classics,Humanities,Research,STEM,Research Assistant,"Schoenberg Database of Manuscripts, U. of Pennsylvania"
126,2013,1,German Language and Literature,Humanities,Non Profit,Government and Social Services,HR Assistant,Crisis Action
126,2013,2,Art History,Humanities,Non Profit,Government and Social Services,HR Assistant,Crisis Action
127,2019,1,International and Area Studies,Interdisciplinary,Arts,Arts and Media,"Graduate Intern, Digital & Print Publications",J. Paul Getty Trust
127,2019,2,Art History,Humanities,Arts,Arts and Media,"Graduate Intern, Digital & Print Publications",J. Paul Getty Trust
128,2013,1,Art History,Humanities,Education,Education,Director of Product,Flocabulary
128,2013,2,Gender Studies,Social Sciences,Education,Education,Director of Product,Flocabulary
129,2015,1,Art History,Humanities,Software,STEM,Sales Development Representative,Coder
129,2015,2,Gender Studies,Social Sciences,Software,STEM,Sales Development Representative,Coder
130,2014,1,Art History,Humanities,Museums and Institutions,Education,Development Coordinator,The Museum of Flight
130,2014,2,German Language and Literature,Humanities,Museums and Institutions,Education,Development Coordinator,The Museum of Flight
131,2010,1,Literature,Humanities,Publishing,Arts and Media,Rights Associate (Literary Agent),"Jane Rotosen Agency, LLC"
131,2010,2,Art History,Humanities,Publishing,Arts and Media,Rights Associate (Literary Agent),"Jane Rotosen Agency, LLC"
132,2013,1,Art History,Humanities,Law,Government and Social Services,Paralegal,Finn Law Group PA
132,2013,2,Music,Humanities,Law,Government and Social Services,Paralegal,Finn Law Group PA
133,2019,1,Art,Humanities,Religion,Government and Social Services,Youth Advisor,Temple Beth Sholom
133,2019,2,Art History,Humanities,Religion,Government and Social Services,Youth Advisor,Temple Beth Sholom
134,2018,1,Art,Humanities,Food Service,"Business, Finance, and Retail",Team Member,Boston Tea Party Cafe
134,2018,2,Art History,Humanities,Food Service,"Business, Finance, and Retail",Team Member,Boston Tea Party Cafe
135,2016,1,Art,Humanities,Educational Services,Education,NA,TestMasters
135,2016,2,Art History,Humanities,Educational Services,Education,NA,TestMasters
136,2014,1,Art,Humanities,Technology,STEM,Social Media Strategist,IBM Security
136,2014,2,Economics,Social Sciences,Technology,STEM,Social Media Strategist,IBM Security
137,2013,1,Chemistry,Natural Sciences,Medical,Health and Medicine,General Surgery Resident,University of Michigan
138,2005,1,Chemistry,Natural Sciences,Agriculture,STEM,Agriculture Resource Educator,Cornell Cooperative Extension
139,2020,1,Chemistry,Natural Sciences,Education,Education,Laboratory Assistant,University of Miami
140,2013,1,Chemistry,Natural Sciences,Research,STEM,Research Technician,Washington U Sch of Med Neurology Dept
141,2014,1,Chemistry,Natural Sciences,Non Profit,Government and Social Services,Corps Member,Americorps
142,2018,1,Chemistry,Natural Sciences,Higher education,Education,Research Assistant (part-time),The Hebrew University of Jerusalem
143,2013,1,Chemistry,Natural Sciences,Education,Education,Postdoctoral Fellow,Cold Spring Harbor Laboratory
144,2010,1,Chemistry,Natural Sciences,Healthcare,Health and Medicine,Clinical Fellow OBGYN,Brigham and Women's Hospital
145,2004,1,Chemistry,Natural Sciences,Healthcare,Health and Medicine,Corporate Counsel,Shriners Hospitals for Children
146,2012,1,Chemistry,Natural Sciences,Medical,Health and Medicine,virology research lab assistant,National Institute of Health
147,2020,1,Chemistry,Natural Sciences,Higher education,Education,Supplemental Instruction Specialist,State College of Florida-Manatee-Sarasota
148,2005,1,Chemistry,Natural Sciences,Medical,Health and Medicine,"Scientist II, Statistical Genetics",BioMarin Pharmaceutical Inc.
149,2016,1,Chemistry,Natural Sciences,Education,Education,Graduate Research Assistant,University of Florida
150,2013,1,Chemistry,Natural Sciences,Medical,Health and Medicine,Medical assistant,University of South Carolina
151,2010,1,Chemistry,Natural Sciences,Services,"Business, Finance, and Retail",Americorps Resource Coordinator,Spectrum Youth and Family Services
152,2007,1,Chemistry,Natural Sciences,Education,Education,Graduate Assistant,University of South Florida
153,2012,1,Chemistry,Natural Sciences,Medical,Health and Medicine,post-baccalaureate research,National Cancer Institute
154,2003,1,Biopsychology,Interdisciplinary,Financial Services,"Business, Finance, and Retail",Loan Operations Manager,"Shenkman Capital Management, Inc."
155,2006,1,Biopsychology,Interdisciplinary,Education,Education,Teaching & Research Assistant,Cornell University
156,2009,1,Biopsychology,Interdisciplinary,Education,Education,Research Assistant,University of Florida-North Florida Research and Education C
157,2010,1,Biopsychology,Interdisciplinary,Medical,Health and Medicine,Executive Director of MAPS,MAPS
158,2013,1,Biopsychology,Interdisciplinary,Education,Education,Admissions Work Study,Unknown
159,2011,1,Biopsychology,Interdisciplinary,Medical,Health and Medicine,"Senior Consultant, Advisory Services",Optum
160,2005,1,Biopsychology,Interdisciplinary,Services,"Business, Finance, and Retail",General Manager,Regal Entertainment Group
161,2007,1,Biopsychology,Interdisciplinary,Technology,STEM,Vision Scientist,Apple
162,2013,1,Biopsychology,Interdisciplinary,Non Profit,Government and Social Services,Volunteer,Angels of Charity
163,2007,1,Biopsychology,Interdisciplinary,Medical,Health and Medicine,Senior Clinical Trial Coordinator,PRA Health Sciences Assigned to Merck
164,2009,1,Biopsychology,Interdisciplinary,Healthcare,Health and Medicine,ARNP,Cowlitz Family Health Center
165,2009,1,Biopsychology,Interdisciplinary,Healthcare,Health and Medicine,Physician-Aerospace Medicine Resident,Naval Aerospace Medical Institute
166,2002,1,Biology,Natural Sciences,Environmental Science,STEM,Research Scientist,Fish and Wildlife Research Institute
167,2003,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Physical Therapist,Benjamin Zolper MD
168,2006,1,Biology,Natural Sciences,Education,Education,PhD Candidate,University of Chicago (Ecology & Evolution Dept)
169,2012,1,Biology,Natural Sciences,Education,Education,Graduate Student Researcher,University of Wisconsin-Madison
170,2007,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Veterinary Asst.,Wellington Veterinary Clinic
171,2006,1,Biology,Natural Sciences,Education,Education,Science Teacher,Southside Community School
172,2009,1,Biology,Natural Sciences,Medical,Health and Medicine,Physician Assistant,UT Southwestern Medical Center
173,2002,1,Biology,Natural Sciences,Environmental Services,STEM,Program Coordinator,National Oceanic and Atmospheric Administration
174,2018,1,Biology,Natural Sciences,Education,Education,Biology Teacher,F.W. Bucholz High School
175,2008,1,Biology,Natural Sciences,Banking,"Business, Finance, and Retail",Project Manager,Regions Bank
176,2002,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Physician,Sound Family Medicine
177,2002,1,Biology,Natural Sciences,Education,Education,Research Specialist,University of Wisconsin at Madison
178,2008,1,Biology,Natural Sciences,Medicine,Health and Medicine,Small Animal Veterinary Technician,Banfield Pet Hospital
179,2006,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Physician's Assistant,Florida Digestive Health Specialists
180,2009,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Osteopathic Physician,Mountain Region Family Medicine PC
181,2020,1,Biology,Natural Sciences,Business,"Business, Finance, and Retail",R&D Administrative Assistant,Cosmetic Solutions
182,2010,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Postdoctoral Fellow,Moffitt Cancer Center
183,2020,1,Biology,Natural Sciences,Research,STEM,Microbiologist/Laboratory Analyst,Kaycha Labs
184,2014,1,Biology,Natural Sciences,Education,Education,Teaching Assistant,Western Carolina University
185,2004,1,Biology,Natural Sciences,City/County/State,Government and Social Services,Environmental Specialist,Sarasota County
186,2005,1,Biology,Natural Sciences,Environmental Science,STEM,Project Manager,Trout Unlimited
187,2007,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Postdoctoral Fellow,U. of FL Pain Research & Intervention Ctr of Excellence
188,2004,1,Biology,Natural Sciences,Government,Government and Social Services,Renewable Energy Program Specialist,Bureau of Ocean Energy Management
189,2010,1,Biology,Natural Sciences,Education,Education,Lab Tech,University of Florida
190,2005,1,Biology,Natural Sciences,Non Profit,Government and Social Services,Coastal Resource Manager,U.S. Peace Corps
191,2019,1,Biology,Natural Sciences,Research,STEM,Research Assistant,Roskamp Institute
192,2003,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Nurse Practicioner,unknown
193,2010,1,Biology,Natural Sciences,Museums and Institutions,Education,Archivist,FL Museum of Natural History
194,2008,1,Biology,Natural Sciences,Education,Education,Independent Tutor,Stacey Loves Science
195,2010,1,Biology,Natural Sciences,Healthcare,Health and Medicine,NA,Hail Plantation Animal Clinic
196,2012,1,Biology,Natural Sciences,Dentistry,Health and Medicine,dentist,Unknown
197,2013,1,Biology,Natural Sciences,Non Profit,Government and Social Services,"""Americop""",Americorp
198,2006,1,Biology,Natural Sciences,Education,Education,Graduate Assistant,New York University
199,2020,1,Biology,Natural Sciences,Business,"Business, Finance, and Retail",Contact Tracer,Insight Global
200,2003,1,Biology,Natural Sciences,Education,Education,Biological Scientist,University of Florida
201,2009,1,Biology,Natural Sciences,Research,STEM,Group Leader,Eurofins
202,2007,1,Biology,Natural Sciences,Government,Government and Social Services,Health & Wellbeing Project Manager,King County Washington
203,2014,1,Biology,Natural Sciences,Research,STEM,"MSTP Student, Bloom Laboratory",Fred Hutchinson Cancer Research Center
204,2004,1,Biology,Natural Sciences,Education,Education,Post-Doc Lecturer,University of Missouri-Columbia
205,2008,1,Biology,Natural Sciences,Medical,Health and Medicine,Neonatologist,"MEDNAX, Health Solutions Partner"
206,2003,1,Biology,Natural Sciences,Research,STEM,Research Associate - Global Health & Social Medici,Harvard Medical School
207,2013,1,Biology,Natural Sciences,Government,Government and Social Services,Peace Corps Volunteer,Peace Corps
208,2010,1,Biology,Natural Sciences,Education,Education,Student Assistant,Ringling College of Art & Design
209,2005,1,Biology,Natural Sciences,Research,STEM,Environmental Scientist,Unknown
210,2013,1,Biology,Natural Sciences,Medical,Health and Medicine,Addiction Medicine Fellow,Baptist Hospital
211,2012,1,Biology,Natural Sciences,Research,STEM,Fulbright Scholar-Chem,Fulbright
212,2020,1,Biology,Natural Sciences,Research,STEM,Molecular Biology Research Associate I,Lygos
212,2020,2,Environmental Studies,Interdisciplinary,Research,STEM,Molecular Biology Research Associate I,Lygos
213,2007,1,Biology,Natural Sciences,Research,STEM,Scientist,Max Planck Institute
213,2007,2,Environmental Studies,Interdisciplinary,Research,STEM,Scientist,Max Planck Institute
214,2005,1,Political Science,Social Sciences,Education,Education,Student,Unknown
214,2005,2,Biology,Natural Sciences,Education,Education,Student,Unknown
215,2006,1,Anthropology,Social Sciences,Healthcare,Health and Medicine,Epidemologist,U. of Florida Emerging Pathologies Institute
215,2006,2,Biology,Natural Sciences,Healthcare,Health and Medicine,Epidemologist,U. of Florida Emerging Pathologies Institute
216,2011,1,Biology,Natural Sciences,Law,Government and Social Services,Researcher,J. Gerard Correa Law Offices
216,2011,2,Applied Mathematics,Natural Sciences,Law,Government and Social Services,Researcher,J. Gerard Correa Law Offices
217,2015,1,Biopsychology,Interdisciplinary,Healthcare Services,Health and Medicine,Substance Abuse Counselor,Gateway Foundation
217,2015,2,Biology,Natural Sciences,Healthcare Services,Health and Medicine,Substance Abuse Counselor,Gateway Foundation
218,2004,1,Biology,Natural Sciences,Education,Education,Assistant Professor of Biology,New College of Florida
218,2004,2,Chemistry,Natural Sciences,Education,Education,Assistant Professor of Biology,New College of Florida
219,2002,1,Biology,Natural Sciences,Research,STEM,Research Associate (post-doc),University of Colorado
219,2002,2,Chemistry,Natural Sciences,Research,STEM,Research Associate (post-doc),University of Colorado
220,2010,1,Biology,Natural Sciences,Education,Education,PhD Student,Brown University
220,2010,2,Chemistry,Natural Sciences,Education,Education,PhD Student,Brown University
221,2014,1,Biology,Natural Sciences,Research,STEM,Postdoctoral Researcher,National Institute of Allergy & Infectious Diseases
221,2014,2,Chemistry,Natural Sciences,Research,STEM,Postdoctoral Researcher,National Institute of Allergy & Infectious Diseases
222,2003,1,Biology,Natural Sciences,Unknown,Other,NA,unknown
222,2003,2,Chemistry,Natural Sciences,Unknown,Other,NA,unknown
223,2002,1,Biology,Natural Sciences,Healthcare Services,Health and Medicine,Clinical Veterinary Technician,Companion Animal Hospital
223,2002,2,Chemistry,Natural Sciences,Healthcare Services,Health and Medicine,Clinical Veterinary Technician,Companion Animal Hospital
224,2008,1,Biology,Natural Sciences,Retail,"Business, Finance, and Retail",Visual Merchandising/Inventory,Apple Store
